prep_img_path,prep_landmarks_path,prep_seg_img_path,emotion_label
../resources/RAFDB/raw/Image/aligned/train_04361_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_04361_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_04361_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_03631_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_03631_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_03631_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_06045_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_06045_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_06045_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_01100_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_01100_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_01100_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_04037_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_04037_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_04037_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_03198_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_03198_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_03198_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_02884_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_02884_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_02884_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_00102_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00102_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_00102_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_05795_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_05795_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_05795_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_00026_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00026_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_00026_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_00558_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00558_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_00558_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_07550_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_07550_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_07550_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_06273_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_06273_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_06273_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_05960_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_05960_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_05960_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_08602_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_08602_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_08602_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_00277_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00277_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_00277_aligned.png,4
../resources/RAFDB/raw/Image/aligned/train_01015_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_01015_aligned.txt,../resources/RAFDB/preprocessed/seg_img/train_01015_aligned.png,4
