img_indir,emotion_label,img_id,raw_img_path,prep_landmarks_path,prep_img_path,mode,raw_img_path_exist
train_00001.jpg,4,train_00001,../resources/RAFDB/raw/Image/aligned/train_00001_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00001_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00001_aligned.jpg,train,True
train_00002.jpg,4,train_00002,../resources/RAFDB/raw/Image/aligned/train_00002_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00002_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00002_aligned.jpg,train,True
train_00003.jpg,3,train_00003,../resources/RAFDB/raw/Image/aligned/train_00003_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00003_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00003_aligned.jpg,train,True
train_00004.jpg,3,train_00004,../resources/RAFDB/raw/Image/aligned/train_00004_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00004_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00004_aligned.jpg,train,True
train_00005.jpg,4,train_00005,../resources/RAFDB/raw/Image/aligned/train_00005_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00005_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00005_aligned.jpg,train,True
train_00006.jpg,0,train_00006,../resources/RAFDB/raw/Image/aligned/train_00006_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00006_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00006_aligned.jpg,train,True
train_00007.jpg,4,train_00007,../resources/RAFDB/raw/Image/aligned/train_00007_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00007_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00007_aligned.jpg,train,True
train_00008.jpg,3,train_00008,../resources/RAFDB/raw/Image/aligned/train_00008_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00008_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00008_aligned.jpg,train,True
train_00009.jpg,3,train_00009,../resources/RAFDB/raw/Image/aligned/train_00009_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00009_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00009_aligned.jpg,train,True
train_00010.jpg,0,train_00010,../resources/RAFDB/raw/Image/aligned/train_00010_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00010_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00010_aligned.jpg,train,True
train_00011.jpg,3,train_00011,../resources/RAFDB/raw/Image/aligned/train_00011_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00011_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00011_aligned.jpg,train,True
train_00012.jpg,0,train_00012,../resources/RAFDB/raw/Image/aligned/train_00012_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00012_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00012_aligned.jpg,train,True
train_00013.jpg,0,train_00013,../resources/RAFDB/raw/Image/aligned/train_00013_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00013_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00013_aligned.jpg,train,True
train_00014.jpg,3,train_00014,../resources/RAFDB/raw/Image/aligned/train_00014_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00014_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00014_aligned.jpg,train,True
train_00015.jpg,4,train_00015,../resources/RAFDB/raw/Image/aligned/train_00015_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00015_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00015_aligned.jpg,train,True
train_00016.jpg,3,train_00016,../resources/RAFDB/raw/Image/aligned/train_00016_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00016_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00016_aligned.jpg,train,True
train_00017.jpg,3,train_00017,../resources/RAFDB/raw/Image/aligned/train_00017_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00017_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00017_aligned.jpg,train,True
train_00018.jpg,3,train_00018,../resources/RAFDB/raw/Image/aligned/train_00018_aligned.jpg,../resources/RAFDB/preprocessed/landmarks/train_00018_aligned.txt,../resources/RAFDB/raw/Image/aligned/train_00018_aligned.jpg,train,True
